	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Prl3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata45	0	0	1.584	2.554	0	0	0	0	9.908	1.495	0.695	1.272	10.321	0.359	7.377	6.115	0	0	0	0	3.27	4.976	0	4.579	0	4.085
Gm28856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigm	13.452	12.113	15.464	14.971	12.697	9.412	9.95	9.527	50.592	51.48	52.504	50.343	50.846	47.857	44.766	47.954	27.093	25.716	32.893	28.053	22	31.313	25.106	21.61	30.715	26.189
Gm10857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr99	1.011	1.109	2.487	1.516	1.902	2.553	2.907	3.655	10.866	13.639	6.583	8.418	8.066	12.591	10.529	5.271	8.529	16.188	11.392	11.573	8.222	3.134	12.042	4.757	11.209	16.035
S100a16	0.158	0.195	1.134	0.475	0.305	1.199	1.775	1.212	4.164	1.703	4.525	1.655	4.133	4.086	4.364	5.439	0	4.624	1.739	1.909	6.621	1.178	3.308	1.738	1.773	4.542
Zdhhc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn45s	1388.145	866.57	1412.335	2703.772	1011.879	1275.284	1909.783	771.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krr1	11.908	12.036	9.153	11.129	10.198	12.164	12.341	12.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pxylp1	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myt1l	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank3	0.217	0.127	0.725	0.417	0.183	0.443	0.676	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa1	1.342	0.828	0.68	0.671	1.09	2.26	1.673	2.141	0.127	0.458	0.107	0.78	0.973	0	0	0.25	0	0	0	2.942	3.341	0	0	0.585	1.974	0
Sfn	2.749	1.735	6.743	5.08	0.246	0.807	1.103	0.612	5.965	6.679	4.933	3.119	8.552	7.729	9.074	8.14	0	1.742	0.864	0	1.146	0	1.626	9.524	1.562	1.699
Icam2	10.807	7.959	21.006	19.229	6.579	5.703	6.261	11.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia1	0.011	0	0.045	0.017	0	0	0.02	0.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenbp1	6.282	7.673	6.657	6.742	1.991	2.644	4.463	3.654	36.994	22.524	39.519	37.991	34.971	26.791	32.594	34.881	12.181	10.912	11.136	7.829	11.957	13.514	6.489	10.142	9.531	8.79
Pth2r	0	0	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp2	1.498	2.053	1.951	0.699	0.512	0.42	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mif4gd	36.968	29.347	52.615	45.789	32.198	25.863	23.486	13.862	76.822	58.343	60.954	72.471	70.204	57.737	65.754	67.177	48.656	28.208	21	37.913	23.409	34.953	19.286	21.742	27.847	17.913
Tmbim7	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfic	39.556	36.589	39.205	31.585	3.366	4.302	3.278	2.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bivm	6.199	4.983	8.635	7.122	1.709	1.635	1.596	0.649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp414	28.987	26.869	32.053	32.921	6.996	5.198	5.326	2.462	25.175	23.194	26.106	26.899	22.809	20.866	19.857	17.532	8.395	11.021	3.768	5.075	1.153	2.552	0	3.228	4.016	2.28
Vax2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb7	0.163	0	0.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelo	5.316	6.8	4.701	4.626	5.202	2.818	4.529	3.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afy3	0.377	1.063	2.315	2.262	0.207	0.408	0.465	1.34	0.914	2.153	1.617	2.066	3.253	9.137	6.609	5.236	0	0	0	0	0	3.106	5.677	2.197	0.329	2.413
9330136K24Rik	0.125	0.154	0.163	0.437	0	0.315	0	0	0	0	0.535	0.073	0.611	0	0.516	0.07	0	0	0	0.365	0	0.232	0	0	0.339	0
Gm45935	4.814	4.068	5.923	4.348	4.094	5.441	6.149	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsu1	69.238	62.747	71.929	57.234	52.48	56.912	68.434	50.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif19a	10.469	10.122	8.762	9.501	1.045	1.219	1.614	1.559	1.126	1.205	2.63	2.681	1.231	1.157	2.744	3.084	0	0	0	0.86	0.315	0	0	0	0.799	0.296
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camkv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo9b	75.407	73.977	76.051	80.338	71.37	56.204	60.912	48.78	206.228	198.182	218.533	208.051	194.491	192.627	216.673	202.201	143.823	135.279	156.053	153.99	105.141	135.422	129.751	130.968	137.976	90.53
Map6d1	0.094	0	0.041	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsad2	25.122	38.919	19.444	13.36	964.369	1483.567	804.53	3354.495	148.595	134.735	158.405	138.069	103.633	96.188	117.238	92.362	10450.018	9499.731	13466.111	11230.876	7435.515	7425.727	6680.123	9514.709	7940.763	5008.419
Flnb	4.98	3.492	2.902	2.438	7.245	4.537	5.336	10.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd11b2	0	0.138	0.073	0.084	0.129	0	0.096	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3g	52.968	58.597	70.502	68.455	58.778	48.036	48.299	42.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC064078	16.116	17.465	7.046	6.041	12.402	12.791	1.986	1.322	12.696	15.92	15.3	10.431	8.452	8.657	13.961	7.716	9.199	9.414	4.863	6.055	5.673	2.141	0	0	2.344	1.45
Nudcd3	38.911	38.878	27.759	26.617	32.348	26.554	14.504	9.463	33.211	27.997	32.658	32.609	24.292	24.141	24.536	28.13	27.975	25.845	24.279	28.238	25.461	13.842	17.542	15.43	13.779	17.299
Cln8	50.543	53.474	51.075	50.406	5.176	7.118	5.139	3.77	25.408	23.65	28.792	27.181	30.234	29.095	32.203	32.819	3.328	2.245	3.248	1.58	2.081	2.025	2.444	2.562	3.131	2.039
E530001F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY512915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm48	3.323	4.262	5.25	4.185	3.068	1.678	1.834	1.78	1.353	0.953	1.393	0.232	0.723	2.613	0.611	1.633	0.266	0	0	0.68	0.595	1.153	0	0	1.173	0.558
Acvr2a	4.557	3.986	8.819	6.97	5.785	6.511	6.359	5.907	1.51	1.256	1.505	1.234	1.452	1.017	0.701	1.673	2.684	0.742	2.24	0.557	1.058	1.08	0.99	0.883	0.739	0.254
Gm8096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf12	5.809	5.519	4.498	5.061	3.262	3.172	5.553	3.605	18.248	22.798	14.921	18.193	14.089	19.215	16.336	19.993	30.111	24.913	22.949	27.012	36.695	25.107	19.11	15.635	31.968	28.779
4930532I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rprl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6c	0.078	0.192	0	0	0	0	0	0.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lncenc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfpi	14.628	13.49	17.477	11.95	11.018	9.148	7.202	8.252	13.581	8.641	12.326	10.16	11.315	12.159	15.358	13.701	4.48	9.337	6.413	5.369	3.658	7.057	12.66	6.493	7.516	2.221
Eaf2	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930505K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc74a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rmdn2	1.266	1.135	1.124	1.035	1.328	1.598	0.794	1.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7609	0.577	0.158	0	0	0	0.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek11	0.039	0.097	0	0	0.152	0.199	0	0	0.067	0	0.451	0	0.258	0	0.109	0.132	0	0	0	0.173	0	0	0	0	0	0.276
4930435E12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emilin3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grb10	0.041	0.125	0.291	0.243	0.141	0.205	0.21	0.35	0.413	0.405	0.261	0.212	0	0.15	0.252	0	0	0	0.274	0.356	0.243	0	0	0	0.331	0.17
Wwp2	33.377	30.131	30.552	28.542	19.041	18.323	16.816	14.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21949	0.086	0.053	0.056	0	0.133	1.09	0.596	0.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503E24Rik	0.774	1.051	1.311	1.161	2.145	0.782	1.87	1.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15417	2.041	1.563	2.75	2.744	1.029	1.422	0.729	0.674	0	0.325	1.006	0.123	0	0	1.746	0	0	0	0	0	0	0	0	0	0.287	0
