	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Atg4c	665	541	676	541	146	46	44	53	512.5	486.5	549.5	599.5	507.5	449	568.5	493.5	9	42	70.5	48	21	16.5	26	48	85.5	52
Tsks	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dand5	46	43	27	20	10	1	0	2	37	40	27	34.5	33.5	37	58.5	17	0	9.5	0	0	0	0	0	6.5	1.5	2.5
Tiam1	13	16	15	7	128	25	86	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desi1	435	341	370	270	267	72	106	75	100	95.5	101.5	91.5	63.5	75	111.5	91.5	28.5	23	68.5	33.5	60.5	27	24	48.5	28.5	60.5
Bcr	121	111	52	37	54	12	16	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp3	5015	3510	3236	2750	2761	867	1851	1117	18	22.5	37	20.5	11	26.5	33.5	19	9	8.5	7	15.5	2.5	25.5	8.5	7	14	5
Pou5f1-rs6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgax	106	106	71	90	574	134	120	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apod	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	2	0
Trmt10a	88	65	27	19	48	26	13	23	39	48	40.5	49	27.5	20	33	33.5	17	16	10.5	50	34.5	27.5	20	17.5	60.5	19.5
Taar9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnnt3	0	0	1	5	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	1	0	0	0	0	1
Rhog	3994	2958	3000	2662	8857	2106	3640	2512	5203	4981	5798	4762.5	5509	4960	5913	4801	5372	6763.5	6423	4520	6497	5987	6551.5	6100.5	4663	6730.5
Ncam1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sec11c	416	334	247	168	288	87	113	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppfia2	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal1	18	12	1	4	145	49	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca4	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	9	16	13	9	15	5	10	10	1	0	9	0	4	0	1	2	0	0	0	2	0	0	0	0	0	0
Fkbp14	84	67	32	13	39	11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlx	407	302	254	162	506	140	148	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd3	23	25	20	15	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc74b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam126b	335	257	305	251	195	35	57	31	12	12.5	7.5	6.5	2.5	1	7	0.5	0	0	0	2	3	0	6	6	0	3
Gm48908	5	3	13	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc9	39	21	44	55	33	16	7	12	18.5	26	30	50.5	74.5	47.5	51	59.5	18.5	15.5	16.5	32	20.5	30.5	27.5	17	21	40
Patl2	0	0	5	0	0	0	0	0	0	0	3	1.5	0	0	4	3.5	0	0	0	0	0	0	0	0	0	0
Asb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp51	26	42	34	44	88	24	24	35	5	7.5	12	13	15.5	8.5	13	8.5	0.5	0	0	1.5	9.5	0	0	3.5	2.5	5
Fubp3	663	494	541	359	530	173	209	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wac	1411	1174	1141	933	1845	520	721	677	1001.5	943	1188.5	951.5	954	900	1097.5	854	683	645.5	670.5	719	536.5	582.5	596.5	518	658.5	530.5
Grb14	1	5	3	5	0	1	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagln2	842	639	706	569	3142	707	2436	1884	801	798.5	1017.5	810.5	919	1029.5	1156.5	890.5	1735	1579	1860.5	1124	1571.5	2181	2609	2471.5	1742	2086.5
Ipp	115	74	54	49	44	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3mbtl3	198	164	261	248	44	18	36	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpl	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarm1	42	28	33	37	7	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubcnl	111	87	167	152	305	137	336	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpr3	1571	1166	1089	636	422	81	164	122	515.5	627	752	596	465	489	693.5	543	60	76.5	85.5	58	59.5	59.5	49	68	69.5	61.5
Rab24	641	503	423	358	568	133	243	103	132.5	149.5	150	157.5	173.5	158	240	179	64	48.5	56.5	86	113	79.5	90.5	132	89	139.5
Ces2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gramd1a	1479	1231	1195	1124	12510	3491	5785	4883	1999	1992	2446	1898	1833.5	1763.5	2215.5	1700.5	9948	11305	11365.5	10346.5	12616	10169	11064.5	11314.5	10237.5	11808.5
D630041G03Rik	0	0	27	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picalm	17733	12509	11692	10076	26346	9722	10188	12138	9512	10138.5	11081	8348.5	9099.5	9502.5	10845.5	8138	11137.5	11097	13625.5	12018.5	10764	11679	11753.5	13357.5	12173.5	10376
Naa30	393	350	402	351	693	198	297	224	181	183	230.5	196.5	198.5	181.5	269.5	184	149.5	99.5	56.5	82	130	109.5	110	98	105.5	90.5
Nenf	290	274	168	152	177	61	83	31	406	497	559.5	468	345.5	423.5	590	408	206	253	116.5	120	272.5	140.5	227	151	141.5	214
Cd34	14	6	4	1	4	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubgcp3	647	434	513	373	604	178	242	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teddm1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brk1	1697	1370	1043	922	1911	459	606	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3hav1	1737	1571	1506	1240	5327	1754	3051	4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bpifa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tacc1	2273	1725	2014	1480	2755	547	654	592	71.5	69	75.5	69	51.5	45.5	76	77.5	20.5	6.5	25	28	17.5	39.5	7.5	27	31	27.5
Mbip	162	138	154	104	167	47	65	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clpsl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs9	19	36	65	62	98	38	122	99	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Spock1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk3-ps	5	3	5	3	6	0	1	2	3	2.5	5	11.5	1	5.5	1	12.5	0	0	9	0	0	0	5.5	9	0	0
Kctd15	0	0	1	4	3	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp804b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pggt1b	380	315	454	343	468	140	244	211	269.5	328.5	434.5	349	316.5	418.5	449.5	401	207.5	115	281	202.5	192	191.5	106.5	319	182.5	156.5
Clcn2	50	28	46	38	10	8	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam26b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3gl3	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovgp1	36	24	28	21	5	6	12	5	24.5	18	20	21.5	22	22.5	17	14	6.5	3	1	0	0	0	0	9	4	0
Adcy6	190	184	30	33	121	39	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a2	0	1	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Crhr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmepa1	140	130	32	38	120	46	28	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn4	0	0	2	10	0	1	0	0	0	0	1	1	2	0	6	0	0	0	0	0	0	0	0	0	0	0
Lrp2bp	2	1	1	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata45	0	0	5	7	0	0	0	0	12	2	1	1.5	13	0.5	11	7.5	0	0	0	0	4.5	5.5	0	6	0	6
Gm28856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigm	989	722	873	734	1213	274	424	366	1096	1231.5	1350.5	1062	1145.5	1193	1194	1052	498.5	485.5	715.5	470.5	541.5	619	508	506.5	554.5	688
Gm10857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr99	9	8	17	9	22	9	15	17	28.5	39.5	20.5	21.5	22	38	34	14	19	37	30	23.5	24.5	7.5	29.5	13.5	24.5	51
S100a16	2	2	11	4	5	6	13	8	15.5	7	20	6	16	17.5	20	20.5	0	15	6.5	5.5	28	4	11.5	7	5.5	20.5
Zdhhc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn45s	78666	39813	61460	102182	74514	28618	62732	22838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krr1	576	472	340	359	641	233	346	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pxylp1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myt1l	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank3	21	10	54	27	23	17	38	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa1	18	9	7	6	19	12	13	15	0.5	2	0.5	3	4	0	0	1	0	0	0	9	15	0	0	2.5	6.5	0
Sfn	43	22	81	53	5	5	10	5	27.5	34	27	14	41	41	51.5	38	0	7	4	0	6	0	7	47.5	6	9.5
Icam2	134	80	200	159	106	28	45	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia1	1	0	3	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenbp1	102	101	83	73	42	17	42	31	177	119	224.5	177	174	147.5	192	169	49.5	45.5	53.5	29	65	59	29	52.5	38	51
Pth2r	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp2	45	50	45	14	20	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mif4gd	592	381	647	489	670	164	218	116	362.5	304	341.5	333	344.5	313.5	382	321	195	116	99.5	138.5	125.5	150.5	85	111	109.5	102.5
Tmbim7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfic	2415	1811	1838	1286	267	104	116	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bivm	201	131	215	154	72	21	30	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp414	338	254	287	256	106	24	36	15	86.5	88	106.5	90	81.5	82.5	84	61	24.5	33	13	13.5	4.5	8	0	12	11.5	9.5
Vax2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb7	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelo	81	84	55	47	103	17	40	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afy3	7	16	33	28	5	3	5	13	5	13	10.5	11	18.5	57.5	44.5	29	0	0	0	0	0	15.5	29	13	1.5	16
9330136K24Rik	3	3	3	7	0	3	0	0	0	0	4.5	0.5	4.5	0	4.5	0.5	0	0	0	2	0	1.5	0	0	2	0
Gm45935	181	124	171	109	200	81	134	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsu1	1063	781	848	586	1047	346	609	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif19a	347	272	223	210	45	16	31	27	11	13	30.5	25.5	12.5	13	33	30.5	0	0	0	6.5	3.5	0	0	0	6.5	3.5
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camkv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo9b	5316	4228	4117	3777	6538	1569	2489	1797	4284	4546	5390	4208.5	4201.5	4604.5	5541.5	4253.5	2537.5	2449	3255	2476.5	2481.5	2567	2517.5	2943.5	2388.5	2280.5
Map6d1	3	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsad2	922	1158	548	327	45992	21561	17115	64335	1607	1609	2034	1454	1165.5	1197	1561	1011.5	95985	89532.5	146228.5	94030.5	91361.5	73280	67476.5	111327.5	71564	65682
Flnb	438	249	196	143	828	158	272	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd11b2	0	2	1	1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3g	543	487	555	468	783	195	287	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC064078	140	123	47	35	140	44	10	6	32.5	45	46.5	26	22.5	25.5	44	20	20	21	12.5	12	16.5	5	0	0	5	4.5
Nudcd3	1495	1211	819	682	1615	404	323	190	376	350	439	359.5	286	314.5	342	322.5	269	255	276	247.5	327.5	143	185.5	189	130	237.5
Cln8	3156	2707	2449	2099	420	176	186	123	467.5	480.5	629	487	578.5	616	729.5	611.5	52	36	60	22.5	43.5	34	42	51	48	45.5
E530001F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY512915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm48	75	78	91	63	90	15	24	21	9	7	11	1.5	5	20	5	11	1.5	0	0	3.5	4.5	7	0	0	6.5	4.5
Acvr2a	251	178	373	256	414	142	203	170	24.5	22.5	29	19.5	24.5	19	14	27.5	37	10.5	36.5	7	19.5	16	15	15.5	10	5
Gm8096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf12	74	57	44	43	54	16	41	24	68.5	94.5	66.5	66.5	55	83	75.5	76	96	81.5	86.5	78.5	156.5	86	67	63.5	100	131
4930532I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rprl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6c	1	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lncenc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfpi	424	317	389	231	415	105	121	125	116	81.5	125	84.5	100.5	119.5	161.5	118.5	32.5	69.5	55	35.5	35.5	55	101	60	53.5	23
Eaf2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930505K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc74a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rmdn2	22	16	15	12	30	11	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7609	9	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek11	1	2	0	0	5	2	0	0	0.5	0	4	0	2	0	1	1	0	0	0	1	0	0	0	0	0	2.5
4930435E12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emilin3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grb10	2	5	11	8	9	4	6	9	6	6.5	4.5	3	0	2.5	4.5	0	0	0	4	4	4	0	0	0	4	3
Wwp2	1380	1010	970	787	1023	300	403	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21949	2	1	1	0	4	10	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930503E24Rik	10	11	13	10	36	4	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15417	29	18	30	26	19	8	6	5	0	1.5	5	0.5	0	0	9	0	0	0	0	0	0	0	0	0	1	0
Ccdc166	59	59	49	40	18	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgoln1	5451	4015	3441	3111	8964	2313	2864	2994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cebpg	2444	2356	1842	1714	732	272	298	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc158	19	12	28	19	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pifo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gna14	5	0	4	1	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nodal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnni3	49	30	39	26	27	18	29	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spsb4	2	2	5	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema3f	33	10	20	13	36	14	24	31	45	31.5	55.5	47	32	41	48.5	35	86.5	31.5	42	44	43.5	94	18	95	36	58
Clca3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833418N02Rik	29	19	32	33	38	8	24	13	18.5	4	11.5	14	19.5	21	37	30	16.5	31.5	13	12	9.5	24	37.5	30	35	55
Mzt1	401	365	349	290	477	125	132	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cysltr1	554	301	469	344	45	42	44	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc35d1	369	269	253	213	239	82	104	130	99	83	151	87	130	99.5	183.5	117.5	30.5	32	45.5	44	51	47	73.5	69	49	82.5
Lyrm1	39	22	16	17	62	27	25	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slco1a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3c2b	9	6	6	15	15	6	21	7	10.5	5.5	9.5	5.5	15	8	12	5.5	2	4.5	0	0	0	1.5	0	0	0	0
Plcg2	2585	1916	1826	1494	2021	443	818	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mid2	257	189	244	252	63	29	75	58	48	36	39	50.5	2	0.5	1.5	4	18	0	0	10.5	7	0	0	0	0	0
Zbtb24	156	112	125	129	126	26	41	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Umps	433	422	246	199	263	48	56	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prnd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vwce	0	1	1	2	0	0	3	2	9	5	0.5	2.5	13.5	9	0.5	1.5	0	0	0	8.5	0	4	0	0	3.5	4
Cpxm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem150b	167	115	210	220	14	12	1	1	89.5	67	103.5	98.5	94	96	70.5	109	0	5.5	6	0	15	2	0	0	0.5	7.5
Gstt1	12	27	5	12	30	7	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nhej1	42	35	33	39	14	13	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col25a1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eda2r	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacs2	2114	1835	1714	1155	1794	436	733	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
